,Provider ID,IMM_2,IMM_3_OP_27_FAC_ADHPCT,OP_22,OP_23,OP_29,OP_30,OP_4,PC_01,STK_4,VTE_5,VTE_6
54,10102,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,10103,99.0,73.0,3.0,0.0,78.0,100.0,0.0,0.0,100.0,94.0,0.0
56,10104,100.0,79.0,2.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0
57,10108,88.0,83.0,2.0,0.0,83.0,100.0,100.0,0.0,0.0,0.0,0.0
58,10109,99.0,97.0,1.0,0.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0
59,10110,80.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,10112,96.0,38.0,1.0,11.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0
61,10113,99.0,54.0,6.0,0.0,92.0,73.0,0.0,0.0,95.0,90.0,1.0
62,10114,98.0,52.0,2.0,0.0,85.0,90.0,97.0,1.0,0.0,92.0,0.0
63,10118,99.0,94.0,3.0,0.0,66.0,89.0,92.0,0.0,0.0,92.0,0.0
64,10120,96.0,90.0,2.0,77.0,100.0,57.0,96.0,0.0,0.0,0.0,0.0
65,10125,99.0,78.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0
66,10126,99.0,81.0,1.0,0.0,39.0,0.0,95.0,0.0,0.0,0.0,0.0
67,10128,100.0,40.0,3.0,0.0,98.0,0.0,100.0,0.0,0.0,0.0,0.0
68,10129,100.0,84.0,3.0,0.0,77.0,92.0,92.0,3.0,0.0,0.0,0.0
69,10130,94.0,52.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,93.0,0.0
70,10131,97.0,75.0,3.0,33.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0
71,10138,51.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,10139,98.0,84.0,1.0,0.0,100.0,96.0,0.0,0.0,0.0,88.0,0.0
73,10144,93.0,98.0,3.0,0.0,95.0,73.0,0.0,0.0,0.0,95.0,0.0
74,10146,97.0,92.0,2.0,0.0,82.0,31.0,100.0,0.0,0.0,0.0,0.0
75,10148,54.0,46.0,1.0,0.0,85.0,70.0,100.0,0.0,0.0,0.0,0.0
76,10149,95.0,77.0,2.0,74.0,65.0,43.0,100.0,2.0,0.0,100.0,0.0
77,10150,100.0,70.0,1.0,0.0,100.0,97.0,96.0,0.0,0.0,0.0,0.0
