,Provider ID,OP_10,OP_11,OP_13,OP_14,OP_8
200,41328,37.5,30.0,0.0,0.5,0.0
201,41329,1.3,1.7,0.0,0.0,0.0
202,41331,0.0,0.0,0.0,0.0,0.0
203,50002,3.8,12.2,0.0,1.8,0.0
204,50006,19.2,0.5,2.5,0.9,24.3
205,50007,5.1,0.7,4.9,0.8,36.9
206,50008,9.7,0.4,0.0,0.0,0.0
207,50009,17.1,1.6,3.7,1.7,36.9
208,50013,2.3,0.0,3.4,0.0,0.0
209,50014,5.8,0.9,4.0,0.0,35.1
210,50017,1.3,0.0,7.1,2.9,0.0
211,50018,13.7,0.0,0.0,0.0,0.0
212,50022,5.8,9.3,5.1,4.6,0.0
213,50024,5.1,0.0,0.0,0.0,0.0
214,50025,8.0,0.0,5.1,2.4,33.3
215,50026,6.8,0.6,3.1,3.3,39.5
216,50028,6.6,0.6,0.0,0.0,0.0
217,50030,16.6,0.7,5.0,0.0,35.2
218,50036,1.5,0.6,4.2,2.2,0.0
219,50038,18.8,0.2,2.8,2.3,45.6
220,50039,0.0,0.0,1.8,2.5,0.0
221,50040,0.0,0.0,0.0,0.0,0.0
222,50042,8.5,5.3,2.6,2.1,52.7
223,50043,8.3,1.1,4.2,0.9,0.0
224,50045,8.5,5.8,6.7,1.6,50.0
225,50047,8.7,0.8,7.3,1.8,0.0
226,50054,2.5,0.0,0.0,0.0,0.0
227,50055,10.7,0.8,3.9,5.9,0.0
228,50056,1.0,5.2,0.0,2.0,0.0
229,50057,5.2,1.1,1.5,1.7,42.7
230,50058,4.6,0.3,1.6,1.9,0.0
231,50060,2.8,2.1,5.1,1.7,0.0
232,50063,5.2,1.0,0.0,4.5,0.0
233,50067,2.5,0.0,0.0,0.0,0.0
234,50069,9.9,0.3,6.1,0.3,0.0
235,50077,3.4,2.6,7.9,4.0,42.9
236,50078,10.3,2.0,0.0,1.6,0.0
237,50082,0.8,1.1,6.7,3.0,0.0
238,50084,3.7,1.6,0.0,2.6,0.0
239,50089,6.3,0.0,0.0,0.0,0.0
240,50090,5.8,0.5,3.6,0.0,50.0
241,50091,0.0,0.0,0.0,0.0,0.0
242,50093,2.9,0.2,2.0,1.5,0.0
243,50099,18.6,0.0,4.4,2.0,0.0
244,50100,1.2,0.2,3.4,5.0,0.0
245,50101,4.7,0.7,3.5,0.0,0.0
246,50102,14.6,15.6,0.0,0.0,0.0
247,50103,12.1,0.0,0.0,0.9,0.0
248,50104,15.9,0.9,0.0,2.2,0.0
249,50107,9.5,4.8,2.3,0.9,33.3
250,50108,0.6,0.3,4.0,2.9,0.0
251,50110,15.0,1.3,3.8,5.5,39.5
252,50112,11.4,9.6,0.0,0.0,30.5
253,50113,7.4,7.4,1.9,0.0,0.0
254,50115,0.8,0.0,2.8,4.2,0.0
255,50116,1.9,1.5,10.1,0.0,0.0
256,50118,5.9,3.8,0.0,1.6,33.3
257,50121,30.5,33.8,0.0,2.7,29.2
258,50122,0.4,0.0,0.0,0.0,0.0
259,50124,8.7,0.0,0.0,0.0,40.0
260,50125,0.9,0.5,1.9,3.2,0.0
261,50126,5.8,11.5,0.0,5.2,0.0
262,50127,7.4,0.0,0.0,1.0,0.0
263,50128,5.2,0.0,2.4,2.4,0.0
264,50129,12.5,21.4,2.2,0.8,0.0
265,50131,4.7,6.6,0.0,1.4,0.0
266,50132,5.7,1.0,0.0,1.6,0.0
267,50133,2.6,0.1,6.1,1.9,0.0
268,50135,1.1,0.0,0.0,0.0,0.0
269,50136,3.2,0.9,0.0,2.1,0.0
270,50145,2.4,0.0,3.9,0.3,36.2
271,50149,1.2,1.7,5.4,0.0,0.0
272,50150,8.8,3.1,4.1,1.7,36.6
273,50152,3.0,0.8,4.3,0.0,44.4
274,50153,0.6,0.0,1.6,1.9,45.5
275,50158,0.0,0.0,0.0,6.2,0.0
276,50159,17.4,0.0,6.3,1.8,0.0
277,50167,3.7,0.0,0.0,0.0,0.0
278,50168,32.8,1.9,6.3,1.2,31.4
279,50169,19.8,1.1,5.1,1.7,33.3
280,50174,3.7,0.5,0.9,1.7,34.3
281,50179,1.3,0.0,0.0,3.3,0.0
282,50180,1.9,0.0,4.4,2.5,0.0
283,50189,1.3,0.0,0.0,0.0,0.0
284,50191,10.6,10.7,3.2,0.0,0.0
285,50192,13.4,0.0,0.0,0.0,0.0
286,50194,3.3,0.0,3.4,0.2,0.0
287,50195,4.2,6.2,6.9,1.7,0.0
288,50197,6.6,0.5,0.0,2.2,43.9
289,50204,2.2,1.4,0.0,0.0,0.0
290,50205,0.0,0.0,0.0,0.0,0.0
291,50211,9.4,0.0,0.0,0.0,0.0
292,50222,0.2,0.0,0.0,2.3,0.0
293,50224,11.9,6.9,7.8,2.3,37.5
294,50225,14.9,1.2,2.6,2.0,37.3
295,50226,13.1,0.0,0.0,1.2,0.0
296,50228,9.7,0.7,0.0,4.9,61.0
297,50230,15.0,0.0,0.0,0.0,0.0
298,50231,6.6,0.0,1.6,0.9,0.0
299,50232,18.8,20.0,0.0,2.4,0.0
300,50234,5.7,0.0,0.0,0.0,0.0
301,50235,8.7,4.6,2.1,2.5,0.0
302,50236,9.0,0.4,0.0,0.0,45.7
303,50238,0.4,0.0,2.5,3.3,0.0
304,50239,17.7,1.1,5.2,4.5,41.5
305,50242,2.1,0.3,5.2,1.5,0.0
306,50243,7.2,0.0,2.2,2.0,0.0
307,50245,4.7,0.4,0.0,1.7,0.0
308,50248,2.8,0.0,0.0,4.3,0.0
309,50254,11.8,0.5,5.7,1.7,41.4
310,50261,26.2,15.1,0.0,1.9,27.3
311,50262,32.2,5.3,6.5,2.5,35.3
312,50272,7.7,0.0,0.0,1.6,0.0
313,50276,8.1,3.2,1.4,0.0,0.0
314,50278,2.9,1.9,3.6,2.7,0.0
315,50279,5.4,3.4,0.0,1.6,0.0
316,50280,0.5,0.0,8.3,2.0,0.0
317,50281,12.1,7.9,0.0,8.0,0.0
318,50283,6.9,0.0,3.6,1.4,47.2
319,50289,18.1,4.4,3.1,1.6,40.0
320,50290,2.6,0.4,9.5,5.1,0.0
321,50291,2.8,2.3,0.0,2.1,0.0
322,50292,16.3,13.2,0.0,0.0,0.0
323,50295,0.6,2.2,0.0,2.2,0.0
324,50296,30.3,0.5,0.0,0.0,43.2
325,50298,2.0,3.9,0.0,5.9,0.0
326,50300,5.6,2.5,4.5,1.2,0.0
327,50301,8.7,2.3,3.4,0.0,47.5
328,50305,4.0,0.8,6.6,1.7,0.0
329,50308,4.9,1.1,0.0,1.2,0.0
330,50309,0.5,0.0,2.3,2.1,0.0
331,50313,6.5,1.1,0.0,0.0,0.0
332,50315,2.7,0.0,0.0,0.0,0.0
333,50320,10.1,2.3,4.5,7.7,0.0
334,50324,8.4,2.3,2.4,3.3,0.0
335,50327,29.8,5.0,6.7,3.1,39.7
336,50329,12.0,1.3,4.2,2.0,0.0
337,50334,0.2,0.0,4.4,0.4,0.0
338,50335,9.9,0.0,3.1,2.2,31.4
339,50336,6.0,1.3,3.9,2.9,0.0
340,50342,6.8,7.9,0.0,1.9,0.0
341,50348,5.8,0.0,5.2,2.9,37.0
342,50350,3.6,0.0,0.0,4.9,0.0
343,50351,9.7,0.1,5.3,1.6,47.9
344,50352,8.7,0.7,4.4,0.0,51.1
345,50353,3.0,1.0,3.2,3.4,0.0
346,50357,2.2,0.0,0.0,0.0,0.0
347,50359,6.7,2.1,0.0,1.3,0.0
348,50360,4.1,0.4,4.0,1.0,0.0
349,50367,0.4,0.0,4.2,3.3,0.0
350,50373,6.6,1.6,0.0,0.0,0.0
351,50376,7.2,1.7,0.0,0.0,0.0
352,50378,0.0,0.0,0.0,0.0,0.0
353,50380,3.8,0.5,4.3,2.5,0.0
354,50382,21.1,10.0,3.5,1.7,0.0
355,50390,46.6,0.0,0.0,1.6,0.0
356,50393,7.0,3.6,0.0,0.0,0.0
357,50394,16.1,22.7,5.9,1.1,0.0
358,50396,3.1,0.0,2.8,5.1,42.2
359,50397,13.8,0.0,0.0,0.0,0.0
360,50407,5.8,0.4,2.4,0.3,0.0
361,50414,2.3,0.0,2.8,2.8,0.0
362,50417,17.6,2.0,0.0,0.0,30.4
363,50423,7.4,27.6,0.0,5.3,0.0
364,50424,16.0,0.8,4.4,2.5,36.4
365,50426,7.0,2.3,0.0,5.5,0.0
366,50434,2.3,0.0,0.0,0.0,0.0
367,50438,0.8,0.0,2.0,2.9,0.0
368,50441,6.4,0.0,5.8,4.2,28.6
369,50444,4.2,2.5,0.0,1.4,0.0
370,50454,13.0,1.4,5.1,0.9,32.2
371,50455,38.1,0.1,6.5,3.7,45.0
372,50457,4.6,0.4,3.5,1.4,42.7
373,50464,1.9,0.0,2.0,1.8,0.0
374,50468,1.0,0.0,0.0,0.0,0.0
375,50471,4.1,6.6,1.7,4.8,0.0
376,50481,1.2,0.0,3.5,2.7,0.0
377,50485,10.5,8.5,4.0,1.6,0.0
378,50488,5.0,0.3,0.0,3.1,0.0
379,50492,4.4,0.9,0.0,1.0,0.0
380,50496,0.9,0.0,5.7,1.8,0.0
381,50498,7.6,0.7,7.4,1.4,0.0
382,50502,28.6,14.9,4.8,0.0,0.0
383,50503,5.2,2.2,4.5,2.5,45.2
384,50506,8.2,0.9,0.0,0.3,0.0
385,50516,1.6,0.4,3.7,5.2,0.0
386,50517,4.6,0.0,0.0,5.9,0.0
387,50523,3.6,0.0,6.0,1.0,0.0
388,50526,2.8,0.0,0.0,6.7,0.0
389,50528,3.0,4.3,0.0,1.3,0.0
390,50534,4.7,0.0,0.0,0.0,0.0
391,50537,0.5,1.2,5.0,0.0,0.0
392,50549,21.2,0.4,6.6,5.4,0.0
393,50551,6.4,0.2,0.0,0.0,0.0
394,50552,0.0,0.0,0.0,0.0,0.0
395,50557,0.3,0.3,3.5,2.6,0.0
396,50567,16.6,1.7,7.5,2.6,48.7
397,50568,6.9,3.1,0.0,0.0,0.0
398,50570,2.9,1.3,4.2,0.3,0.0
399,50573,16.4,8.8,3.9,2.6,0.0
400,50575,1.5,0.0,0.0,0.0,0.0
401,50580,7.6,0.0,0.0,0.0,0.0
402,50581,5.0,0.6,0.0,0.6,0.0
403,50586,8.0,0.0,0.0,0.0,0.0
404,50588,0.0,0.0,0.0,0.0,0.0
405,50589,8.0,0.0,0.0,4.4,0.0
406,50590,1.0,1.7,7.4,2.4,0.0
407,50597,10.8,6.7,0.0,0.0,0.0
408,50599,8.2,0.3,4.7,2.7,33.4
409,50603,14.8,5.8,7.8,2.1,0.0
410,50608,26.0,17.5,0.0,1.6,0.0
411,50616,1.6,0.0,0.0,2.6,0.0
412,50624,2.0,0.0,4.7,4.9,0.0
413,50625,3.2,0.2,5.4,3.0,38.1
414,50633,2.4,0.0,0.0,0.5,0.0
415,50636,2.2,1.2,4.5,3.6,0.0
416,50678,27.6,28.8,5.5,1.7,0.0
417,50684,40.0,0.0,0.0,0.0,0.0
418,50688,4.5,0.0,0.0,0.0,0.0
419,50689,7.5,0.5,3.4,0.0,0.0
420,50696,35.1,0.8,5.7,1.0,43.4
421,50701,2.0,4.0,0.0,3.8,0.0
422,50704,3.6,0.0,4.0,0.0,0.0
423,50709,8.9,0.0,0.0,0.0,0.0
424,50724,2.6,0.0,0.0,0.0,0.0
425,50726,63.5,0.0,0.0,0.0,0.0
426,50727,0.0,0.0,0.0,0.0,0.0
427,50732,13.8,4.3,0.0,0.0,0.0
428,50735,17.9,0.0,0.0,6.0,0.0
429,50736,47.6,0.0,0.0,0.5,0.0
430,50737,18.5,0.0,0.0,0.0,0.0
431,50738,0.0,0.0,0.0,6.8,0.0
432,50739,4.4,8.9,0.0,2.9,0.0
433,50740,17.5,0.0,0.0,5.0,0.0
434,50742,1.7,0.0,0.0,0.0,0.0
435,50745,1.8,0.0,0.0,0.0,0.0
436,50746,0.0,2.0,0.0,4.5,0.0
437,50747,0.0,0.0,0.0,0.0,0.0
438,50755,2.2,0.0,0.0,7.3,0.0
439,50757,2.4,1.0,0.0,0.0,0.0
440,50758,0.0,0.0,0.0,0.0,0.0
441,50761,5.2,2.7,7.5,2.6,0.0
442,50764,0.4,0.0,2.7,4.2,0.0
443,50770,7.0,13.3,4.0,0.0,0.0
444,50771,3.6,0.0,0.0,0.0,0.0
445,50773,0.0,0.0,0.0,0.0,0.0
446,50775,1.8,3.1,4.1,2.0,0.0
447,50776,2.8,0.0,0.0,0.0,0.0
448,51300,4.2,0.0,0.0,0.0,0.0
449,51303,0.0,0.0,0.0,0.0,0.0
450,51311,5.5,2.0,0.0,0.4,0.0
451,51314,6.8,12.0,0.0,0.8,0.0
452,51315,3.3,0.0,0.0,0.0,0.0
453,51319,59.3,14.0,6.7,0.0,46.2
454,51320,5.2,1.7,0.0,0.0,0.0
455,51321,1.9,0.7,0.0,1.2,0.0
456,51327,1.8,0.0,0.0,0.0,0.0
457,51329,2.6,0.6,0.0,0.7,40.0
458,51331,13.5,0.7,0.0,0.0,0.0
459,51332,3.3,2.2,0.0,0.0,54.1
460,51334,8.4,1.1,0.0,0.0,0.0
461,60001,4.3,2.9,1.8,3.4,41.1
462,60003,5.4,0.0,1.9,1.6,0.0
463,60004,4.6,1.7,6.0,0.0,44.4
464,60006,13.3,6.5,3.4,1.0,37.7
465,60008,9.1,5.1,4.2,0.0,0.0
466,60009,2.9,0.3,0.0,1.3,0.0
467,60010,5.2,2.3,3.5,3.0,41.5
468,60011,0.2,5.3,2.3,0.0,0.0
469,60012,11.4,3.3,6.1,4.7,52.2
470,60013,5.1,0.9,2.6,0.0,0.0
471,60014,5.1,0.3,7.1,0.0,0.0
472,60015,5.0,1.0,3.0,2.5,0.0
473,60016,10.1,4.1,0.0,0.0,55.3
474,60020,8.7,0.5,5.2,2.7,43.4
475,60022,20.5,13.3,3.8,2.2,34.6
476,60023,12.1,0.3,3.5,0.0,37.3
477,60024,5.2,0.2,4.0,1.6,29.0
478,60027,8.4,0.2,3.8,0.8,31.6
479,60028,4.6,0.0,0.0,0.0,0.0
480,60030,8.7,6.2,4.5,0.0,40.3
