,Provider ID,MORT_30_AMI,MORT_30_CABG,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK
1862,191310,0.0,0.0,7.8,11.5,19.1,0.0
1863,191311,0.0,0.0,0.0,0.0,0.0,0.0
1864,191312,0.0,0.0,6.6,11.4,14.4,15.4
1865,191313,0.0,0.0,8.5,12.2,14.5,0.0
1866,191314,0.0,0.0,0.0,0.0,0.0,0.0
1867,191315,0.0,0.0,8.0,11.0,12.3,0.0
1868,191316,0.0,0.0,8.4,12.6,15.0,0.0
1869,191317,0.0,0.0,8.0,12.9,14.6,0.0
1870,191318,0.0,0.0,7.9,12.2,17.6,0.0
1871,191319,0.0,0.0,0.0,0.0,0.0,0.0
1872,191320,0.0,0.0,0.0,0.0,16.0,0.0
1873,191321,0.0,0.0,0.0,0.0,0.0,0.0
1874,191322,0.0,0.0,8.0,13.9,17.3,0.0
1875,191323,0.0,0.0,7.1,10.4,15.4,15.4
1876,191324,0.0,0.0,7.4,11.1,17.5,0.0
1877,191325,0.0,0.0,9.0,10.8,17.9,0.0
1878,191326,0.0,0.0,0.0,0.0,15.9,0.0
1879,193300,0.0,0.0,0.0,0.0,0.0,0.0
1880,193301,0.0,0.0,0.0,0.0,0.0,0.0
1881,200001,13.9,0.0,6.6,12.2,13.7,14.4
1882,200008,14.2,0.0,7.9,12.4,14.3,18.4
1883,200009,12.8,3.0,8.0,13.4,17.1,17.6
1884,200018,13.9,0.0,7.6,10.8,14.7,16.4
1885,200019,12.7,0.0,7.4,12.6,13.5,17.5
1886,200020,13.1,0.0,7.2,12.8,12.5,12.6
1887,200021,16.1,0.0,8.5,12.2,16.5,14.1
1888,200024,12.5,3.9,10.4,12.8,17.5,15.1
1889,200031,12.7,0.0,10.7,13.6,15.5,16.7
1890,200033,17.1,4.4,10.3,13.0,15.9,16.8
1891,200034,16.2,0.0,9.2,12.9,14.1,16.5
1892,200037,14.9,0.0,7.9,12.3,18.5,15.8
1893,200039,17.1,0.0,8.0,13.4,15.2,17.8
1894,200041,15.3,0.0,7.9,12.1,18.3,14.6
1895,200050,13.2,0.0,7.6,12.8,13.2,14.7
1896,200052,12.9,0.0,8.6,11.1,16.4,15.6
1897,200063,12.8,0.0,8.6,11.7,18.2,14.9
1898,201300,0.0,0.0,8.3,12.9,17.1,16.8
1899,201301,0.0,0.0,0.0,0.0,17.4,0.0
1900,201302,0.0,0.0,9.0,10.4,15.6,14.0
1901,201303,13.9,0.0,9.6,11.9,16.5,14.2
1902,201304,0.0,0.0,7.7,11.7,13.4,0.0
1903,201305,13.4,0.0,6.5,11.5,13.7,0.0
1904,201306,0.0,0.0,8.8,12.4,16.3,15.3
1905,201307,14.3,0.0,7.7,13.9,16.3,0.0
1906,201308,14.4,0.0,7.8,12.0,12.6,14.6
1907,201309,14.2,0.0,9.6,11.7,13.9,14.4
1908,201310,0.0,0.0,7.5,11.7,18.3,0.0
1909,201311,15.3,0.0,8.8,13.2,17.7,0.0
1910,201312,13.6,0.0,8.4,11.6,15.8,15.3
1911,201313,15.8,0.0,8.7,14.1,17.8,0.0
1912,201314,14.2,0.0,7.8,11.8,12.5,15.0
1913,201315,15.0,0.0,8.8,13.5,19.2,17.3
1914,210001,0.0,0.0,0.0,0.0,0.0,0.0
1915,210002,0.0,0.0,0.0,0.0,0.0,0.0
1916,210003,0.0,0.0,0.0,0.0,0.0,0.0
1917,210004,0.0,0.0,0.0,0.0,0.0,0.0
1918,210005,0.0,0.0,0.0,0.0,0.0,0.0
1919,210006,0.0,0.0,0.0,0.0,0.0,0.0
1920,210008,0.0,0.0,0.0,0.0,0.0,0.0
1921,210009,0.0,0.0,0.0,0.0,0.0,0.0
1922,210011,0.0,0.0,0.0,0.0,0.0,0.0
1923,210012,0.0,0.0,0.0,0.0,0.0,0.0
1924,210013,0.0,0.0,0.0,0.0,0.0,0.0
1925,210015,0.0,0.0,0.0,0.0,0.0,0.0
1926,210016,0.0,0.0,0.0,0.0,0.0,0.0
1927,210017,0.0,0.0,0.0,0.0,0.0,0.0
1928,210018,0.0,0.0,0.0,0.0,0.0,0.0
1929,210019,0.0,0.0,0.0,0.0,0.0,0.0
1930,210022,0.0,0.0,0.0,0.0,0.0,0.0
1931,210023,0.0,0.0,0.0,0.0,0.0,0.0
1932,210024,0.0,0.0,0.0,0.0,0.0,0.0
1933,210027,0.0,0.0,0.0,0.0,0.0,0.0
1934,210028,0.0,0.0,0.0,0.0,0.0,0.0
1935,210029,0.0,0.0,0.0,0.0,0.0,0.0
1936,210030,0.0,0.0,0.0,0.0,0.0,0.0
1937,210032,0.0,0.0,0.0,0.0,0.0,0.0
1938,210033,0.0,0.0,0.0,0.0,0.0,0.0
1939,210034,0.0,0.0,0.0,0.0,0.0,0.0
1940,210035,0.0,0.0,0.0,0.0,0.0,0.0
1941,210037,0.0,0.0,0.0,0.0,0.0,0.0
1942,210038,0.0,0.0,0.0,0.0,0.0,0.0
1943,210039,0.0,0.0,0.0,0.0,0.0,0.0
1944,210040,0.0,0.0,0.0,0.0,0.0,0.0
